source_type,source_path,feature,scenario,tags,description,steps_summary,status
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membership,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_lab_order_new_user,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member).,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Complete online paymentWithMembership,@order_view,Complete online paymentWithMembership.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Extract total amount for multi member scenario,@final_amountWithMembership,Extract total amount for multi member scenario.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Identify membership type,@select_testsWithMembership,Identify membership type.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Location Auto-Detect on Dashboard,@membershipWithMembership,Validate that Location Auto-Detect on Dashboard.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Select tests and capture individual prices,@cartWithMembership,Validate that Select tests and capture individual prices.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Select the member for multi member scenario,@multi_member_totalWithMembership,Validate that Select the member for multi member scenario.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,User logs into the application,@location_detectWithMembership,Validate that User logs into the application.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Validate actual amount with add member page total amount,@payment,Validate actual amount with add member page total amount.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Validate checkout summary header values with individual prices,@multi_memberWithMembership,Validate checkout summary header values with individual prices.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Validating the visit type,@checkout_headerWithMembership,Validate that Validating the visit type.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,View the order after paymentWithMembership,,View the order after paymentWithMembership.,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And click the Best Seller View All button,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Add a new family member with all fields including optional fields,@Positive,Add a new family member with all fields including optional fields.,Given the user clicks on Add New Member button | When the user uploads profile photo | And the user selects title from the dropdown | And the user enters first name | And the user enters middle name,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Add family members with different relations,@Boundary,Add family members with different relations.,Given the user clicks on Add New Member button | When the user enters first name | And the user enters last name | And the user enters mobile number | And the user selects gender,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Add multiple family members with unique names,@Negative,Add multiple family members with unique names.,Given the user clicks on Add New Member button | When the user fills the form with randomly generated unique name | And the user enters all mandatory fields with valid data | And the user clicks on Save button | Then the new member should be added successfully,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Attempt to add member with invalid email format,@Positive,Validate that Attempt to add member with invalid email format.,Given the user clicks on Add New Member button | When the user fills all mandatory fields | And the user enters invalid email | And the user clicks on Save button | Then the form should not be submitted,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Attempt to add member without mandatory fields,@Negative,Validate that Attempt to add member without mandatory fields.,Given the user clicks on Add New Member button | When the user leaves first name field empty | And the user leaves last name field empty | And the user clicks on Save button | Then the form should not be submitted,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Cancel adding a new member,@Positive,Cancel adding a new member.,Given the user clicks on Add New Member button | When the user enters first name | And the user enters last name | And the user clicks on Cancel button | Then the add member form should be closed,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Search for added member using search functionality,@Positive,Search for added member using search functionality.,Given the user has multiple members in the family list | When the user enters member name in the search field | Then only matching members should be displayed | And other members should be filtered out,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Successfully add a new family member with all mandatory fields,@Positive,Validate that Successfully add a new family member with all mandatory fields.,Given load the excel data for single member and lab visit for a new user | When the user selects title from the dropdown | And the user enters first name | And the user enters last name | And the user selects country code,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Validate date of birth field with boundary values,,Validate date of birth field with boundary values.,Given the user clicks on Add New Member button | When the user enters minimum allowed date of birth | Then the date should be accepted | When the user enters maximum allowed date of birth | Then the date should be accepted,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Validate mobile number field with invalid data,@Negative,Validate mobile number field with invalid data.,Given the user clicks on Add New Member button | When the user fills all mandatory fields except mobile number | And the user enters invalid mobile number | And the user clicks on Save button | Then the form should not be submitted,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,Verify added member appears in the member list,@Positive,Verify added member appears in the member list.,Given the user has successfully added a member | When the user views the Family and Friends page | Then the member should be visible in the list | And the member card should display correct name | And the member card should display correct relation,Implemented
Cucumber,src/test/resources/Feature/TC_05_FamilyAndFriends.feature,Add Family and Friends Member,View all family members using See All link,@Positive,View all family members using See All link.,Given the user has more than three members in the family list | When the user clicks on See All link | Then all family members should be displayed | And the complete list should be visible,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home sample visit for a single  non member and complete online payment  in most popular packages,@add_member_multi_lab_order_membership,Place a home sample visit for a single non member and complete online payment in most popular packages.,Given load the excel data for single non member and home visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home sample visit for a single member and complete online payment  in most popular packages,@singleLabOrderWithoutMembership @completeLoginFlow,Place a home sample visit for a single member and complete online payment in most popular packages.,Given load the excel data for single member and home visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_without_membership,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and home sample with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member).,Given load the excel data for multi member(Non member) and home visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membership,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and lab visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_home_order_without_membership,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member).,Given load the excel data for multi member (Non Member)and lab visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a single member and complete online payment  in DNA Decoder page,@singleHomeOrderMembership @completeLoginFlow,Place a lab visit for a single member and complete online payment in DNA Decoder page.,Given load the excel data for single member and lab visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_DNADecoder.feature,Place DNA Decoders  orders and pay online,Place a lab visit for a single non member and complete online payment  in most popular packages,@singleHomeOrderWithoutMembership @completeLoginFlow,Place a lab visit for a single non member and complete online payment in most popular packages.,Given load the excel data for single non member and lab visit with memership in DNA Decoder | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Complete online payment,@order_viewWithoutMembership,Complete online payment.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Extract total amount for multi member scenario,@final_amountWithoutMembership,Extract total amount for multi member scenario.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Identify membership type,@select_testsWithoutMembership,Identify membership type.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Location Auto-Detect on Dashboard,@membership,Validate that Location Auto-Detect on Dashboard.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Select tests and capture individual prices,@cartWithoutMembership,Validate that Select tests and capture individual prices.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Select the member for multi member scenario,@multi_member_totalWithoutMembership,Validate that Select the member for multi member scenario.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,User logs into the application,@location_detectWithoutMembership,Validate that User logs into the application.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validate actual amount with add member page total amount,@paymentWithoutMembership,Validate actual amount with add member page total amount.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validate checkout summary header values with individual prices,@multi_memberWithoutMembership,Validate checkout summary header values with individual prices.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,Validating the visit type,@checkout_headerWithoutMembership,Validate that Validating the visit type.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_06_EndToEndScenarios_NonMember.feature,Place lab orders and pay online for multiple scenarios of non member and tests,View the order after payment,,View the order after payment.,Given load the excel data for multi member and lab visit without memership | When the user enters otp | And click on the submit button | And find whether the account holder is member or non member | And verify whether the already selected tests are retained in the cart after login,Implemented
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home sample visit for a single  non member and complete cash payment  in most popular packages,@payincashNew,Place a home sample visit for a single non member and complete cash payment in most popular packages.,Given load the excel data for single non member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home sample visit for a single member and complete cash payment  in most popular packages,@payincashNew,Place a home sample visit for a single member and complete cash payment in most popular packages.,Given load the excel data for single member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(Member),@payincash,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(Member).,Given load the excel data for multi member and home collection with memership and with cash payment | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_07_PayInCash.feature,Place a home sample visit for a single member and pay in cash,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(without Member),,Place a home visit for a family member with the profile owner and complete cash payment in most popular packages(without Member).,Given load the excel data for multi member and home collection without memership and with cash payment | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single  non member and complete cash payment with reschedule order flow(Non Member),@payincashRescheduleNonMember,Place a home sample visit for a single non member and complete cash payment with reschedule order flow(Non Member).,Given load the excel data for single non member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single  non member and complete online payment  with reschedule order flow,@payincashRescheduleMember,Place a home sample visit for a single non member and complete online payment with reschedule order flow.,Given load the excel data for single non member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single member and complete cash payment  with reschedule order flow(Member),@payincashRescheduleMember,Place a home sample visit for a single member and complete cash payment with reschedule order flow(Member).,Given load the excel data for single member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single member and complete online payment with reschedule order flow(Member),@rescheduleLabOrderNonMember,Place a home sample visit for a single member and complete online payment with reschedule order flow(Member).,Given load the excel data for single member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Member),@payincashRescheduleNonMember,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Member).,Given load the excel data for multi member and home collection with memership and with cash payment | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Non Member),,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Non Member).,Given load the excel data for multi member and home collection without memership and with cash payment | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a lab visit for a single non member and complete online payment with reschedule order flow,@rescheduleHomeOrderNonMember,Place a lab visit for a single non member and complete online payment with reschedule order flow.,Given load the excel data for single non member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place lab orders for a single member and pay online with reschedule order flow(Member),@rescheduleHomeOrder,Place lab orders for a single member and pay online with reschedule order flow(Member).,Given load the excel data for single member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a home sample visit for a single  non member and complete online payment  with cancel order flow(Non Member),,Place a home sample visit for a single non member and complete online payment with cancel order flow(Non Member).,Given load the excel data for single non member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a home sample visit for a single member and complete online payment with cancel order flow,@cancelLabOrderNonMember,Place a home sample visit for a single member and complete online payment with cancel order flow.,Given load the excel data for single member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a lab visit for a single member and complete online payment  in most popular packages,@cancelHomeOrder,Place a lab visit for a single member and complete online payment in most popular packages.,Given load the excel data for single member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a lab visit for a single non member and complete online payment with cancel order flow(Non Member),@rescheduleHomeOrderNonMember,Place a lab visit for a single non member and complete online payment with cancel order flow(Non Member).,Given load the excel data for single non member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_10_UserRegistration.feature,New User registration,Place a lab visit for a single member and complete online payment  in most popular packages,@NewUserRegistrationUpdate,Place a lab visit for a single member and complete online payment in most popular packages.,Given load the excel data for single member and lab visit for a new user | When create an account with random mobile number | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member (non-member) places a lab visit order with proportional coupon split via UI and verifies via API,@hybridLabOrderMemberReward,Validate that Multi-member (non-member) places a lab visit order with proportional coupon split via UI and verifies via API.,Given load the excel data for multi member and lab visit without memership with coupon | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with proportional coupon split via UI and verifies via API,@hybridMultiMemberNonMemberCoupon,Validate that Multi-member places a lab visit order with proportional coupon split via UI and verifies via API.,Given load the excel data for multi member and lab visit with coupon | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with reward and coupon via UI and verifies via getOrderById API,@hybridMultiMemberReward,Validate that Multi-member places a lab visit order with reward and coupon via UI and verifies via getOrderById API.,Given load the excel data for multi member and lab visit with coupon | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with reward only via UI and verifies via getOrderById API,@hybridLabOrderNonMember,Validate that Multi-member places a lab visit order with reward only via UI and verifies via getOrderById API.,Given load the excel data for multi member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",New user places a lab visit order via UI and verifies via getOrderById API,@hybridLabAddMemberNewUser,Validate that New user places a lab visit order via UI and verifies via getOrderById API.,Given load the excel data for new user and lab visit with online payment | When create an account with random mobile number | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@hybridLabOrderMemberCoupon,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
